Name,F,Fmin,Fmax,MJD,MJDmin,MJDmax,Coverage,Resolution,Scale,Sensitivity
1420MHz,1420e6,1418.8e6,1421.2e6,41863,41575,42152,0.64,2040,900,0.3
 2MASSH,180e12,167e12,197e12,51104,50614,51954,1,4,1,9.34e-4
 2MASSJ,240e12,222e12,375e12,51104,50614,51954,1,4,1,7.63e-4
 2MASSK,137e12,129e12,222e12,51104,50614,51954,1,4,1,12.7e-4
 408MHz,408e6,406.3e6,409.8e6,41650,39079,44131,1,3060,1265.4,1
 4850MHz,4850e6,4550e6,5150e6,47525,46749,48210,0.98,210,468,.03
 AKARI N160,1.7e12,1.3e12,2.1e12,54084,53840,54327,1,88,44.2,1
 AKARI N60,5e12,3.7e12,6.0e12,54084,53840,54327,1,63,26.8,.06
 AKARI WIDE-L,2.14e12,1.7e12,2.7e12,54084,53840,54327,1,88,44.2,.5
 AKARI WIDE-S,3.3e12,2.7e12,5.0e12,54084,53840,54327,1,78,26.8,0.1
 BAT-flux-1,4.04e18,3.38e18,4.84e18,54419,53354,55484,1,1200,168,10.e-5
 BAT-snr-1,4.04e18,3.38e18,4.84e18,54419,53354,55484,1,1200,168,10.e-5
 BAT-flux-2,5.29e18,4.84e18,5.80e18,54419,53354,55484,1,1200,168,7.6e-5
 BAT-snr-2,5.29e18,4.84e18,5.80e18,54419,53354,55484,1,1200,168,7.6e-5
 BAT-flux-3,7.00e18,5.80e18,8.46e18,54419,53354,55484,1,1200,168,5e-5
 BAT-snr-3,7.00e18,5.80e18,8.46e18,54419,53354,55484,1,1200,168,5e-5
 BAT-flux-4,10.1e18,8.46e18,12.1e18,54419,53354,55484,1,1200,168,3e-5
 BAT-snr-4,10.1e18,8.46e18,12.1e18,54419,53354,55484,1,1200,168,3e-5
 BAT-flux-5,14.8e18,12.1e18,18.1e18,54419,53354,55484,1,1200,168,2.2e-5
 BAT-snr-5,14.8e18,12.1e18,18.1e18,54419,53354,55484,1,1200,168,2.2e-5
 BAT-flux-6,20.9e18,18.1e18,24.2e18,54419,53354,55484,1,1200,168,1.4e-5
 BAT-snr-6,20.9e18,18.1e18,24.2e18,54419,53354,55484,1,1200,168,1.4e-5
 BAT-flux-7,29.6e18,24.2e18,36.3e18,54419,53354,55484,1,1200,168,0.9e-5
 BAT-snr-7,29.6e18,24.2e18,36.3e18,54419,53354,55484,1,1200,168,0.9e-5
 BAT-flux-8,41.4e18,36.3e18,48.2e18,54419,53354,55484,1,1200,168,0.6e-5
 BAT-snr-8,41.4e18,36.3e18,48.2e18,54419,53354,55484,1,1200,168,0.6e-5
 BAT-snr-sum,12e18,3.38e18,47.2e18,54419,53354,55484,1,1200,168,2.7e-5
 CDFS LESS,345e12,315e12,375e12,54510,54235,54785,6.e-6,19.2,6,.0047
 CO2D,115e12,114.89e12,115.12e12,48316,44931,51701,.24,810,450,3.5
 COBEAAM,1.6e13,1e12,210e12,48005,47854,48155,1,2700,1150,3.2
 COBEZSMA,1.6e13,1e12,210e12,48005,47854,48155,1,2700,1150,3.2
 Comptel,2.4e21,0.24e21,7.2e21,49016,48391,59640,1,10800,3600,1.0e-8
 DSSOld,5.6e14,4.2e14,9.6e14,40128,31636,48072,1,3,1.7,1.5e-5
 DSS1B,6.4e14,5.2e14,9.6e14,44968,42593,47342,0.5,3,1.7,3.6e-6
 DSS1R,4.6e14,4.4e14,4.9e14,34010,31636,36384,0.75,3,1.7,2.7e-5
